FID,C_Nus,Coord_X,Coord_Y
383,N00429B,431.436.243,4.582.492.355
384,N00431V,431.577.745,4.582.160.709
385,N00432W,431.561.298,4.582.293.244
386,N00434Y,431.524.298,4.582.356.443
387,N00435Z,431.491.887,4.582.371.981
388,N00436A,431.452.626,4.582.390.292
389,N00437B,431.403.665,4.582.283.556
390,N00438C,431.409.042,4.582.292.564
391,N00439D,431.436.658,4.582.356.287
392,N00440W,431.495.933,4.582.145.462
393,N00441X,431486.79,4.582.232.766
394,N00442Y,431.446.196,4582247.98
395,N00443Z,431.460.094,4.582.275.149
396,N00444A,431.430.163,4.582.226.566
397,N00446C,431.360.903,4.581.904.813
398,N00447D,431.378.002,4.581.926.402
399,N00448E,431.391.641,4.581.945.037
400,N00449F,431.403.057,4.581.872.828
401,N00451Z,431.385.574,4.581.974.919
402,N00452A,431398.3,4.581.993.097
403,N00453B,431.479.712,4.582.175.439
404,N00454C,431.458.497,4.582.192.112
405,N00455D,431.386.812,4.582.255.165
406,N00456E,431.432.696,4.582.165.871
407,N00458G,431370.56,4.582.225.307
408,N00459H,431.398.022,4.582.136.606
409,N00460A,431.419.217,4.582.156.116
410,N00461B,431.398.439,4.582.079.323
411,N00462C,431.424.596,4582114.2
412,N00463D,431.410.855,4.582.070.728
413,N00464E,431.428.543,4.582.097.185
414,N00465F,431.434.576,4.582.106.275
415,N00468I,431.462.817,4.582.141.093
416,N00469J,431.469.229,4582075.08
417,N00470C,431362.06,4.582.119.767
418,N00471D,431.339.425,4582191.11
419,N00472E,431.479.746,4.582.129.835
420,N00473F,431.493.785,4.582.171.575
421,N00474G,431225.74,4.582.388.937
422,N00475H,431.316.281,4.582.435.826
423,N00476I,431.370.442,4.582.462.181
424,N00477J,431.339.508,4.582.391.407
425,N00478K,431.391.853,4.582.417.486
426,N00479L,431417.36,4.582.430.135
427,N00480E,431.366.467,4.582.049.955
428,N00481F,431522.04,4.581.595.005
429,N00482G,431.518.906,4.581.577.957
430,N00483H,431.507.561,4.581.609.272
431,N00495L,431.315.535,4582238.31
432,N00496M,431358.02,4.582.296.622
433,N00497N,431.274.668,4.582.276.651
434,N00498O,431312.42,4.582.300.359
435,N00499P,431.331.722,4.582.306.455
436,N00500R,431.374.615,4.582.295.275
437,N00501S,431.359.205,4.582.354.261
438,N00502T,431.013.575,4.582.177.647
439,N00503U,431.098.554,4.582.262.437
440,N00504V,431.130.263,4.582.295.123
441,N00505W,430.919.189,4.582.265.359
442,N00506X,430.966.589,4.582.131.961
443,N00507Y,431.081.142,4.582.105.191
444,N00508Z,431.097.706,4.582.125.458
445,N00509A,431140.11,4.582.178.987
446,N00510T,431162.84,4.582.205.216
447,N00511U,431.216.165,4.582.244.782
448,N00512V,431.204.445,4.582.117.085
449,N00513W,431.227.763,4.582.144.574
450,N00514X,431.272.666,4.582.192.514
