vehicle_identifier, vehicle_identification_number, gps_lat, gps_lng, battery_charge, vehicle_status, created_on
4780-LMH,UCYS01S0ZMB000392,41.384717,2.171002,98,TRAVELLING,2021-03-11 12:32:29.58005+00
4780-LMH,UCYS01S0ZMB000392,41.384721,2.170906,98,TRAVELLING,2021-03-11 12:32:33.86483+00
4780-LMH,UCYS01S0ZMB000392,41.384727,2.170843,98,TRAVELLING,2021-03-11 12:32:38.156949+00
4780-LMH,UCYS01S0ZMB000392,41.384825,2.170702,98,TRAVELLING,2021-03-11 12:32:52.535736+00
4780-LMH,UCYS01S0ZMB000392,41.384993,2.170639,98,TRAVELLING,2021-03-11 12:32:58.653226+00
4780-LMH,UCYS01S0ZMB000392,41.385085,2.170588,98,TRAVELLING,2021-03-11 12:33:04.175927+00
4780-LMH,UCYS01S0ZMB000392,41.38512,2.17057,98,TRAVELLING,2021-03-11 12:33:07.133191+00
4780-LMH,UCYS01S0ZMB000392,41.385113,2.170497,98,TRAVELLING,2021-03-11 12:33:11.418891+00
4780-LMH,UCYS01S0ZMB000392,41.385141,2.170467,98,TRAVELLING,2021-03-11 12:33:14.177765+00
4780-LMH,UCYS01S0ZMB000392,41.385769,2.170463,98,TRAVELLING,2021-03-11 12:33:27.792287+00
4780-LMH,UCYS01S0ZMB000392,41.386481,2.171185,98,TRAVELLING,2021-03-11 12:33:42.638701+00
4780-LMH,UCYS01S0ZMB000392,41.386487,2.171198,98,TRAVELLING,2021-03-11 12:33:44.688407+00
4780-LMH,UCYS01S0ZMB000392,41.38652,2.171191,98,TRAVELLING,2021-03-11 12:33:48.098+00
4780-LMH,UCYS01S0ZMB000392,41.386522,2.171191,98,TRAVELLING,2021-03-11 12:33:49.537934+00
4780-LMH,UCYS01S0ZMB000392,41.386597,2.171186,98,TRAVELLING,2021-03-11 12:33:58.308887+00
4780-LMH,UCYS01S0ZMB000392,41.38675,2.171618,98,TRAVELLING,2021-03-11 12:34:07.459328+00
4780-LMH,UCYS01S0ZMB000392,41.387264,2.172139,98,TRAVELLING,2021-03-11 12:34:16.49242+00
4780-LMH,UCYS01S0ZMB000392,41.388242,2.17275,98,TRAVELLING,2021-03-11 12:34:30.549424+00
4780-LMH,UCYS01S0ZMB000392,41.388809,2.173305,98,TRAVELLING,2021-03-11 12:34:45.481245+00
4780-LMH,UCYS01S0ZMB000392,41.389031,2.173252,98,TRAVELLING,2021-03-11 12:34:49.511077+00
4780-LMH,UCYS01S0ZMB000392,41.389562,2.173071,98,TRAVELLING,2021-03-11 12:35:03.578099+00
4780-LMH,UCYS01S0ZMB000392,41.390415,2.1724,98,TRAVELLING,2021-03-11 12:35:18.453921+00
4780-LMH,UCYS01S0ZMB000392,41.390997,2.171638,97,TRAVELLING,2021-03-11 12:35:33.614694+00
4780-LMH,UCYS01S0ZMB000392,41.391013,2.171624,97,TRAVELLING,2021-03-11 12:35:35.600186+00
4780-LMH,UCYS01S0ZMB000392,41.391062,2.171451,97,TRAVELLING,2021-03-11 12:35:51.250061+00
4780-LMH,UCYS01S0ZMB000392,41.391114,2.171391,97,TRAVELLING,2021-03-11 12:36:06.179377+00
4780-LMH,UCYS01S0ZMB000392,41.391126,2.171384,97,TRAVELLING,2021-03-11 12:36:11.327554+00
4780-LMH,UCYS01S0ZMB000392,41.391134,2.171376,97,TRAVELLING,2021-03-11 12:36:13.450451+00
4780-LMH,UCYS01S0ZMB000392,41.391187,2.171379,97,TRAVELLING,2021-03-11 12:36:17.831362+00
4780-LMH,UCYS01S0ZMB000392,41.391202,2.171379,97,TRAVELLING,2021-03-11 12:36:22.38332+00
4780-LMH,UCYS01S0ZMB000392,41.391212,2.171379,97,TRAVELLING,2021-03-11 12:36:22.48312+00
4780-LMH,UCYS01S0ZMB000392,41.391227,2.171378,97,TRAVELLING,2021-03-11 12:36:25.418556+00
4780-LMH,UCYS01S0ZMB000392,41.39124,2.171376,97,TRAVELLING,2021-03-11 12:36:25.474123+00
4780-LMH,UCYS01S0ZMB000392,41.391556,2.171186,97,TRAVELLING,2021-03-11 12:36:37.261001+00
4780-LMH,UCYS01S0ZMB000392,41.391686,2.17129,97,TRAVELLING,2021-03-11 12:36:39.467055+00
4780-LMH,UCYS01S0ZMB000392,41.39173,2.17126,97,TRAVELLING,2021-03-11 12:36:46.344387+00
4780-LMH,UCYS01S0ZMB000392,41.391788,2.171331,97,TRAVELLING,2021-03-11 12:36:50.66869+00
4780-LMH,UCYS01S0ZMB000392,41.392119,2.171833,97,TRAVELLING,2021-03-11 12:37:04.586946+00
4780-LMH,UCYS01S0ZMB000392,41.392123,2.171833,97,TRAVELLING,2021-03-11 12:37:06.089123+00
4780-LMH,UCYS01S0ZMB000392,41.392156,2.171822,97,TRAVELLING,2021-03-11 12:37:17.378153+00
4780-LMH,UCYS01S0ZMB000392,41.392849,2.172823,97,TRAVELLING,2021-03-11 12:37:33.738091+00
4780-LMH,UCYS01S0ZMB000392,41.393867,2.174269,97,TRAVELLING,2021-03-11 12:37:46.554606+00
4780-LMH,UCYS01S0ZMB000392,41.394425,2.175675,97,TRAVELLING,2021-03-11 12:38:01.669334+00
4780-LMH,UCYS01S0ZMB000392,41.39476,2.176029,97,TRAVELLING,2021-03-11 12:38:06.615212+00
4780-LMH,UCYS01S0ZMB000392,41.395828,2.176817,97,TRAVELLING,2021-03-11 12:38:21.601456+00
4780-LMH,UCYS01S0ZMB000392,41.397207,2.17862,97,TRAVELLING,2021-03-11 12:38:36.501887+00
4780-LMH,UCYS01S0ZMB000392,41.398421,2.180367,96,TRAVELLING,2021-03-11 12:38:54.354564+00
4780-LMH,UCYS01S0ZMB000392,41.399562,2.182168,96,TRAVELLING,2021-03-11 12:39:06.650151+00
4780-LMH,UCYS01S0ZMB000392,41.400448,2.183903,96,TRAVELLING,2021-03-11 12:39:21.776525+00
4780-LMH,UCYS01S0ZMB000392,41.400867,2.184404,96,TRAVELLING,2021-03-11 12:39:34.797632+00
4780-LMH,UCYS01S0ZMB000392,41.400832,2.184413,96,TRAVELLING,2021-03-11 12:39:37.620309+00
4780-LMH,UCYS01S0ZMB000392,41.400828,2.184415,96,TRAVELLING,2021-03-11 12:39:40.876806+00
4780-LMH,UCYS01S0ZMB000392,41.400825,2.184413,96,TRAVELLING,2021-03-11 12:39:41.019817+00
4780-LMH,UCYS01S0ZMB000392,41.400925,2.184395,96,TRAVELLING,2021-03-11 12:39:55.369258+00
4780-LMH,UCYS01S0ZMB000392,41.401028,2.184389,96,TRAVELLING,2021-03-11 12:40:08.35335+00
4780-LMH,UCYS01S0ZMB000392,41.401569,2.184851,96,TRAVELLING,2021-03-11 12:40:18.810905+00
4780-LMH,UCYS01S0ZMB000392,41.401622,2.184852,96,TRAVELLING,2021-03-11 12:40:21.814459+00
4780-LMH,UCYS01S0ZMB000392,41.4018,2.185049,96,TRAVELLING,2021-03-11 12:40:28.996548+00
4780-LMH,UCYS01S0ZMB000392,41.4025,2.186295,96,TRAVELLING,2021-03-11 12:40:43.585346+00
4780-LMH,UCYS01S0ZMB000392,41.403196,2.187331,96,TRAVELLING,2021-03-11 12:40:58.643306+00
4780-LMH,UCYS01S0ZMB000392,41.403424,2.187573,96,TRAVELLING,2021-03-11 12:41:10.354631+00
4780-LMH,UCYS01S0ZMB000392,41.403438,2.187612,96,TRAVELLING,2021-03-11 12:41:24.774087+00
4780-LMH,UCYS01S0ZMB000392,41.403447,2.18763,96,TRAVELLING,2021-03-11 12:41:38.108205+00
4780-LMH,UCYS01S0ZMB000392,41.403871,2.188085,96,TRAVELLING,2021-03-11 12:41:52.388076+00
4780-LMH,UCYS01S0ZMB000392,41.404347,2.188534,96,TRAVELLING,2021-03-11 12:42:01.426522+00
4780-LMH,UCYS01S0ZMB000392,41.40539,2.189818,96,TRAVELLING,2021-03-11 12:42:16.620689+00
4780-LMH,UCYS01S0ZMB000392,41.406259,2.190955,95,TRAVELLING,2021-03-11 12:42:31.88753+00
4780-LMH,UCYS01S0ZMB000392,41.406325,2.19101,95,TRAVELLING,2021-03-11 12:42:37.57763+00
4780-LMH,UCYS01S0ZMB000392,41.406468,2.190985,95,TRAVELLING,2021-03-11 12:42:51.632381+00
4780-LMH,UCYS01S0ZMB000392,41.406586,2.190937,95,TRAVELLING,2021-03-11 12:43:06.488157+00
4780-LMH,UCYS01S0ZMB000392,41.406608,2.190932,95,TRAVELLING,2021-03-11 12:43:12.045862+00
4780-LMH,UCYS01S0ZMB000392,41.40702,2.191613,95,TRAVELLING,2021-03-11 12:43:26.75167+00
4780-LMH,UCYS01S0ZMB000392,41.407942,2.192936,95,TRAVELLING,2021-03-11 12:43:45.238248+00
4780-LMH,UCYS01S0ZMB000392,41.408941,2.194429,95,TRAVELLING,2021-03-11 12:43:59.755256+00
4780-LMH,UCYS01S0ZMB000392,41.409057,2.19463,95,TRAVELLING,2021-03-11 12:44:06.058066+00
4780-LMH,UCYS01S0ZMB000392,41.409148,2.194952,95,TRAVELLING,2021-03-11 12:44:16.379114+00
4780-LMH,UCYS01S0ZMB000392,41.409084,2.195041,95,TRAVELLING,2021-03-11 12:44:21.778212+00
4780-LMH,UCYS01S0ZMB000392,41.409107,2.195051,95,TRAVELLING,2021-03-11 12:44:27.171285+00
4780-LMH,UCYS01S0ZMB000392,41.408781,2.195575,95,TRAVELLING,2021-03-11 12:44:41.747657+00
4780-LMH,UCYS01S0ZMB000392,41.40873,2.195652,95,TRAVELLING,2021-03-11 12:44:46.042666+00
4780-LMH,UCYS01S0ZMB000392,41.408721,2.195674,95,TRAVELLING,2021-03-11 12:44:55.100548+00
4780-LMH,UCYS01S0ZMB000392,41.408224,2.196299,95,TRAVELLING,2021-03-11 12:45:09.052726+00
4780-LMH,UCYS01S0ZMB000392,41.407801,2.196824,95,TRAVELLING,2021-03-11 12:45:18.158103+00
4780-LMH,UCYS01S0ZMB000392,41.407782,2.196832,95,TRAVELLING,2021-03-11 12:45:27.277898+00
4780-LMH,UCYS01S0ZMB000392,41.407767,2.196855,95,TRAVELLING,2021-03-11 12:45:29.421509+00
4780-LMH,UCYS01S0ZMB000392,41.407749,2.196875,95,TRAVELLING,2021-03-11 12:45:45.563547+00
4780-LMH,UCYS01S0ZMB000392,41.407748,2.19688,95,TRAVELLING,2021-03-11 12:45:47.28384+00
4780-LMH,UCYS01S0ZMB000392,41.407619,2.19705,95,TRAVELLING,2021-03-11 12:45:52.19509+00
4780-LMH,UCYS01S0ZMB000392,41.407339,2.197428,95,TRAVELLING,2021-03-11 12:45:55.39385+00
4780-LMH,UCYS01S0ZMB000392,41.406069,2.199153,94,TRAVELLING,2021-03-11 12:46:10.546069+00
4780-LMH,UCYS01S0ZMB000392,41.405332,2.200162,94,TRAVELLING,2021-03-11 12:46:26.371931+00
4780-LMH,UCYS01S0ZMB000392,41.404955,2.200687,94,TRAVELLING,2021-03-11 12:46:37.111035+00
4780-LMH,UCYS01S0ZMB000392,41.4049,2.200688,94,TRAVELLING,2021-03-11 12:46:51.505239+00
4780-LMH,UCYS01S0ZMB000392,41.404911,2.200686,94,TRAVELLING,2021-03-11 12:47:06.816787+00
